range,color
"A","#440154FF"
"B","#3B528BFF"
"C","#21908CFF"
"D","#5DC863FF"
"E","#FDE725FF"
"AB","#402A70FF"
"AC","#324870FF"
"AD","#50645CFF"
"AE","#A0743CFF"
"BC","#2E718CFF"
"BD","#4C8D77FF"
"BE","#9C9C58FF"
"CD","#3FAC78FF"
"CE","#8FBC58FF"
"DE","#ADD844FF"
"ABC","#925633FF"
"ABD","#A4842DFF"
"ABE","#AC7285FF"
"ACD","#9E6361FF"
"ACE","#BE873DFF"
"ADE","#A0837CFF"
"BCD","#AE9796FF"
"BCE","#AB8283FF"
"BDE","#C4A64CFF"
"CDE","#BA8927FF"
"ABCD","#CC6D4EFF"
"ABCE","#BD4A54FF"
"ABDE","#E0CB80FF"
"ACDE","#CD407FFF"
"BCDE","#DDAC62FF"
"ABCDE","#F05A28FF"
