Iteration	Posterior	Likelihood	Prior	er[1][1]	er[2][2]	er[3][3]	er[4][4]	er[5][5]	extirpation_rate	rate_bg
0	-58.46437	-60.46204	1.997674	0.6509171	0.6509171	0.6509171	0.6509171	0.6509171	0.6509171	0.01
10	-55.69011	-56.42197	0.7318549	0.5075274	0.5075274	0.5075274	0.5075274	0.5075274	0.5075274	0.02967934
20	-54.97283	-54.67273	-0.3001063	1.456159	1.456159	1.456159	1.456159	1.456159	1.456159	0.03242311
30	-55.73841	-53.99415	-1.744255	1.996508	1.996508	1.996508	1.996508	1.996508	1.996508	0.04364158
40	-55.01314	-55.44751	0.434369	1.224204	1.224204	1.224204	1.224204	1.224204	1.224204	0.02466226
50	-56.66777	-57.11079	0.4430154	0.7532386	0.7532386	0.7532386	0.7532386	0.7532386	0.7532386	0.04682258
60	-54.79081	-55.11885	0.3280377	1.181948	1.181948	1.181948	1.181948	1.181948	1.181948	0.0296734
70	-55.62678	-54.04007	-1.586709	1.939103	1.939103	1.939103	1.939103	1.939103	1.939103	0.04214887
80	-54.79694	-55.04862	0.2516851	1.189047	1.189047	1.189047	1.189047	1.189047	1.189047	0.03161225
90	-54.9235	-55.42977	0.506266	0.985514	0.985514	0.985514	0.985514	0.985514	0.985514	0.03447099
100	-55.93594	-53.90784	-2.028104	2.111216	2.111216	2.111216	2.111216	2.111216	2.111216	0.04539146
110	-55.62133	-56.00364	0.3823166	1.340111	1.340111	1.340111	1.340111	1.340111	1.340111	0.02074007
120	-54.87358	-54.99477	0.121194	1.297862	1.297862	1.297862	1.297862	1.297862	1.297862	0.02927409
130	-56.95969	-53.57724	-3.382457	2.716728	2.716728	2.716728	2.716728	2.716728	2.716728	0.0499251
140	-56.67459	-53.65321	-3.02138	2.613144	2.613144	2.613144	2.613144	2.613144	2.613144	0.04295451
150	-54.83527	-55.64183	0.8065627	0.8573743	0.8573743	0.8573743	0.8573743	0.8573743	0.8573743	0.03001874
160	-56.5395	-54.10014	-2.439355	2.184537	2.184537	2.184537	2.184537	2.184537	2.184537	0.05861485
170	-57.81071	-56.31232	-1.498389	1.603278	1.603278	1.603278	1.603278	1.603278	1.603278	0.0790098
