Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15	start_16	end_16	start_17	end_17	start_18	end_18	start_19	end_19	start_20	end_20	start_21	end_21	start_22	end_22	start_23	end_23	start_24	end_24	start_25	end_25	start_26	end_26	start_27	end_27	start_28	end_28	start_29	end_29	start_30	end_30	start_31	end_31	start_32	end_32	start_33	end_33	start_34	end_34	start_35	end_35
0	5	5	14	14	27	27	5	14	5	5	1	6	3	3	1	1	4	9	1	1	9	28	26	26	5	14	5	5	5	5	4	11	5	5	5	5	5	5	15	15	5	15	5	5	31	31	31	31	1	9	30	31	30	30	31	31	31	31	5	31	5	5	27	27	5	14	16	27	27	27
10	5	5	5	14	24	27	5	14	5	5	1	6	3	3	1	1	4	9	1	1	1	28	26	26	5	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	26	31	31	31	1	1	31	31	31	31	31	31	28	31	25	28	5	5	10	24	5	5	3	24	25	25
20	5	5	5	14	5	27	5	14	5	5	21	6	1	3	1	1	10	9	1	1	1	28	26	26	5	14	5	5	5	5	3	11	5	5	5	5	5	5	14	14	14	14	3	14	7	31	1	7	1	1	1	1	1	17	1	1	1	1	3	21	5	5	5	5	7	5	6	21	16	16
30	2	5	5	14	12	27	5	14	5	5	1	6	1	3	1	1	1	9	1	1	1	28	7	26	3	14	5	5	5	5	4	11	5	5	5	5	5	5	5	15	5	5	5	5	1	7	1	12	1	1	1	1	1	1	1	1	1	1	5	1	5	5	5	12	5	13	13	5	13	13
40	5	5	25	14	12	27	5	14	5	5	16	6	3	3	1	1	3	9	1	1	1	28	26	26	5	14	5	5	5	5	3	11	5	5	5	5	5	5	5	14	5	5	5	5	27	31	16	27	1	1	16	16	16	16	3	16	3	3	1	16	5	5	5	12	5	25	8	5	16	16
50	5	5	14	14	27	27	5	14	5	5	1	6	11	3	1	1	1	9	1	1	1	28	26	26	5	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	21	31	21	21	1	1	7	21	1	7	1	1	11	18	3	18	5	5	26	27	1	14	12	26	21	21
60	5	5	22	14	20	27	5	14	5	5	1	6	29	3	1	1	1	9	1	1	12	28	3	26	14	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	5	14	5	5	12	12	1	12	1	1	1	1	29	29	6	29	5	5	5	20	5	22	3	5	16	16
70	5	5	15	14	6	27	5	14	5	5	1	6	1	3	1	1	1	9	1	1	1	28	1	26	25	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	5	29	5	5	1	1	1	12	1	1	1	1	1	1	9	1	5	5	2	20	20	15	4	20	9	9
80	5	5	8	14	20	27	5	14	5	5	1	6	3	3	1	1	4	9	1	1	10	28	26	26	5	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	30	31	30	30	1	17	30	31	30	30	31	31	31	31	1	31	5	5	2	20	20	22	12	20	12	12
90	5	5	5	14	5	27	5	14	5	5	1	6	1	3	1	1	1	9	1	1	1	28	21	26	1	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	21	21	1	21	1	1	1	1	1	1	1	1	1	1	14	1	5	5	5	5	5	5	5	5	14	14
100	5	5	5	14	11	27	5	14	5	5	2	6	1	3	1	1	1	9	1	1	1	28	21	26	5	14	5	5	5	5	3	11	5	5	5	5	5	5	5	14	5	5	5	5	12	21	1	12	1	1	1	1	1	1	1	1	1	1	2	6	5	5	5	25	12	5	13	12	13	13
110	5	5	5	14	27	27	5	14	5	5	2	6	3	3	1	1	1	9	1	1	21	28	6	26	5	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	12	20	5	12	5	21	5	5	12	12	23	12	21	29	28	27	5	5	8	27	1	5	5	16	28	28
120	3	5	25	14	5	27	12	14	5	5	1	6	1	3	1	1	1	9	1	1	1	28	26	26	5	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	20	31	12	20	1	1	1	12	1	1	1	1	1	1	3	1	5	12	4	5	19	25	11	19	11	11
130	3	5	3	14	5	27	5	14	5	5	1	6	5	3	6	1	1	9	1	1	1	28	7	26	3	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	1	7	1	12	1	1	1	1	1	1	6	6	20	20	4	20	5	5	5	5	5	3	4	5	4	4
140	5	5	5	14	12	27	5	14	5	5	1	6	1	3	1	1	7	9	1	1	13	28	30	26	3	14	5	5	5	5	4	11	5	5	5	5	5	5	15	15	5	15	5	5	5	30	5	5	5	20	5	5	21	21	21	21	21	21	25	21	3	5	1	21	12	5	2	12	30	30
150	5	5	14	14	16	27	22	14	5	5	2	6	3	3	1	1	1	9	1	1	1	28	16	26	5	14	5	5	5	5	3	11	5	5	5	5	5	5	5	14	5	5	5	5	22	27	22	22	1	1	22	27	27	27	27	27	27	27	1	27	5	22	7	27	5	14	6	21	6	6
160	5	5	14	14	5	27	5	14	5	5	2	6	2	3	2	1	2	9	1	1	17	28	1	26	14	14	5	5	5	5	2	11	5	5	5	5	5	5	5	13	5	5	5	5	14	21	5	14	28	17	2	28	2	2	2	2	2	2	2	2	2	5	10	13	4	14	30	10	30	30
170	1	5	13	14	5	27	13	14	5	5	29	6	1	3	3	1	3	9	3	1	3	28	3	26	14	14	5	5	5	5	14	11	5	5	5	5	5	5	5	14	5	5	5	5	14	14	3	14	3	3	3	3	3	3	3	3	3	7	3	29	5	13	15	5	2	20	3	24	3	3
180	5	5	26	14	5	27	12	14	5	5	1	6	1	3	4	1	1	9	1	1	1	28	18	26	5	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	25	29	15	25	1	1	9	23	9	9	9	9	9	9	1	9	5	12	5	5	30	31	4	30	9	9
190	5	5	5	14	1	27	14	14	5	5	2	6	3	3	1	1	1	9	1	1	12	28	31	26	5	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	14	31	5	14	12	12	1	12	1	1	20	1	31	27	5	31	7	14	1	7	28	5	5	28	5	5
200	5	5	3	14	2	27	4	14	17	5	23	6	11	3	3	1	7	9	9	1	4	28	9	26	3	14	5	5	5	5	14	11	5	5	5	5	5	5	5	14	5	5	5	5	12	18	1	12	6	9	2	6	3	16	3	3	4	11	28	23	5	17	10	13	2	14	2	10	28	28
210	5	5	5	14	18	27	5	14	5	5	1	6	3	3	1	1	1	9	1	1	1	28	3	26	14	14	12	5	5	5	7	11	5	5	5	5	5	5	5	21	5	5	12	12	5	14	1	12	1	1	1	1	1	1	1	1	7	7	4	7	5	5	31	29	5	5	16	31	26	26
