Iteration	Posterior	Likelihood	Prior	er[1][1]	er[2][2]	er[3][3]	er[4][4]	er[5][5]	extirpation_rate	rate_bg
0	-57.52875	-59.5217	1.992942	0.6389342	0.6389342	0.6389342	0.6389342	0.6389342	0.6389342	0.01
10	-55.57806	-55.74659	0.1685297	1.476156	1.476156	1.476156	1.476156	1.476156	1.476156	0.0194705
20	-55.47013	-54.76315	-0.7069813	1.449884	1.449884	1.449884	1.449884	1.449884	1.449884	0.04933722
30	-54.64665	-55.46666	0.8200114	0.6263977	0.6263977	0.6263977	0.6263977	0.6263977	0.6263977	0.03210296
40	-57.12621	-53.77163	-3.354579	2.699099	2.699099	2.699099	2.699099	2.699099	2.699099	0.05031741
50	-55.14881	-55.66003	0.5112176	0.8339457	0.8339457	0.8339457	0.8339457	0.8339457	0.8339457	0.04127006
60	-58.89939	-56.65846	-2.240932	1.850213	1.850213	1.850213	1.850213	1.850213	1.850213	0.09807311
70	-56.84059	-56.04543	-0.7951639	1.361321	1.361321	1.361321	1.361321	1.361321	1.361321	0.06452895
80	-55.00127	-55.69981	0.6985417	0.5333345	0.5333345	0.5333345	0.5333345	0.5333345	0.5333345	0.03242721
90	-54.08408	-55.07472	0.99064	0.8051915	0.8051915	0.8051915	0.8051915	0.8051915	0.8051915	0.02619054
100	-54.81322	-54.51723	-0.2959859	1.526605	1.526605	1.526605	1.526605	1.526605	1.526605	0.02789373
110	-55.36062	-53.99174	-1.368875	1.88459	1.88459	1.88459	1.88459	1.88459	1.88459	0.03809388
120	-54.98846	-54.1508	-0.8376642	1.63786	1.63786	1.63786	1.63786	1.63786	1.63786	0.03792584
130	-60.836	-54.70827	-6.127729	3.684532	3.684532	3.684532	3.684532	3.684532	3.684532	0.120887
140	-61.07626	-54.04118	-7.035086	4.504445	4.504445	4.504445	4.504445	4.504445	4.504445	0.07166285
150	-60.5372	-54.11687	-6.420337	4.381643	4.381643	4.381643	4.381643	4.381643	4.381643	0.0476347
160	-54.48927	-54.98941	0.5001395	0.9619494	0.9619494	0.9619494	0.9619494	0.9619494	0.9619494	0.03587221
170	-57.24269	-54.44448	-2.798207	2.284611	2.284611	2.284611	2.284611	2.284611	2.284611	0.06794079
180	-56.99111	-54.91137	-2.079738	1.946162	1.946162	1.946162	1.946162	1.946162	1.946162	0.06797465
190	-54.99247	-55.23019	0.2377173	1.025692	1.025692	1.025692	1.025692	1.025692	1.025692	0.04243046
200	-56.06503	-53.993	-2.072032	2.097694	2.097694	2.097694	2.097694	2.097694	2.097694	0.04881374
210	-56.14179	-53.86953	-2.272263	2.222122	2.222122	2.222122	2.222122	2.222122	2.222122	0.04580557
220	-60.14788	-56.91383	-3.234045	2.186111	2.186111	2.186111	2.186111	2.186111	2.186111	0.1293272
230	-55.45615	-53.99443	-1.461717	1.958312	1.958312	1.958312	1.958312	1.958312	1.958312	0.03569904
240	-54.76481	-55.62862	0.8638174	0.4317047	0.4317047	0.4317047	0.4317047	0.4317047	0.4317047	0.02028496
250	-55.60939	-55.57496	-0.03443129	0.3225877	0.3225877	0.3225877	0.3225877	0.3225877	0.3225877	0.02444391
260	-54.75886	-54.26504	-0.4938262	1.539897	1.539897	1.539897	1.539897	1.539897	1.539897	0.03306309
270	-55.39603	-55.53288	0.1368536	1.468549	1.468549	1.468549	1.468549	1.468549	1.468549	0.02041604
280	-54.22505	-54.72405	0.4989942	1.092627	1.092627	1.092627	1.092627	1.092627	1.092627	0.0292932
290	-54.69537	-55.21352	0.5181454	0.9066245	0.9066245	0.9066245	0.9066245	0.9066245	0.9066245	0.03788664
300	-56.53626	-53.85035	-2.68591	2.511432	2.511432	2.511432	2.511432	2.511432	2.511432	0.03784924
310	-55.38079	-54.12642	-1.254371	1.908333	1.908333	1.908333	1.908333	1.908333	1.908333	0.03228884
320	-55.10776	-55.48304	0.3752809	0.9296674	0.9296674	0.9296674	0.9296674	0.9296674	0.9296674	0.04245296
330	-54.1237	-55.28618	1.162481	0.7471279	0.7471279	0.7471279	0.7471279	0.7471279	0.7471279	0.02286833
340	-54.72351	-55.36269	0.6391799	0.8159081	0.8159081	0.8159081	0.8159081	0.8159081	0.8159081	0.0368972
350	-55.92012	-54.48038	-1.439744	2.073566	2.073566	2.073566	2.073566	2.073566	2.073566	0.02730563
360	-56.24216	-54.61145	-1.630708	1.813746	1.813746	1.813746	1.813746	1.813746	1.813746	0.0576016
370	-55.12353	-54.09486	-1.028667	1.716496	1.716496	1.716496	1.716496	1.716496	1.716496	0.03883597
380	-56.79543	-54.32365	-2.471785	2.17781	2.17781	2.17781	2.17781	2.17781	2.17781	0.0614156
390	-56.83428	-54.22577	-2.608515	2.578467	2.578467	2.578467	2.578467	2.578467	2.578467	0.03051712
400	-57.31565	-55.22344	-2.092213	1.917187	1.917187	1.917187	1.917187	1.917187	1.917187	0.0732305
410	-55.42743	-55.56239	0.134963	1.02812	1.02812	1.02812	1.02812	1.02812	1.02812	0.046844
420	-56.36186	-56.06416	-0.2977084	1.72263	1.72263	1.72263	1.72263	1.72263	1.72263	0.01845437
430	-54.4119	-54.83668	0.4247741	1.029219	1.029219	1.029219	1.029219	1.029219	1.029219	0.03499794
440	-58.70403	-54.36855	-4.335488	2.924729	2.924729	2.924729	2.924729	2.924729	2.924729	0.08537747
450	-54.2034	-55.44589	1.242494	0.7262365	0.7262365	0.7262365	0.7262365	0.7262365	0.7262365	0.02127646
460	-55.3764	-54.95189	-0.4245102	1.320413	1.320413	1.320413	1.320413	1.320413	1.320413	0.04832794
470	-55.11945	-54.22781	-0.8916356	1.616313	1.616313	1.616313	1.616313	1.616313	1.616313	0.04189859
480	-55.03929	-54.36963	-0.6696608	1.504672	1.504672	1.504672	1.504672	1.504672	1.504672	0.04242987
490	-54.55907	-55.54423	0.9851548	1.018718	1.018718	1.018718	1.018718	1.018718	1.018718	0.020313
500	-54.45612	-55.36053	0.9044118	0.5297904	0.5297904	0.5297904	0.5297904	0.5297904	0.5297904	0.02621352
510	-56.30506	-53.97261	-2.332448	2.201899	2.201899	2.201899	2.201899	2.201899	2.201899	0.05077161
520	-55.85169	-53.8949	-1.956783	2.16557	2.16557	2.16557	2.16557	2.16557	2.16557	0.03766008
530	-54.26008	-55.13085	0.8707681	0.7647156	0.7647156	0.7647156	0.7647156	0.7647156	0.7647156	0.03034444
540	-55.50688	-54.93651	-0.5703719	1.377042	1.377042	1.377042	1.377042	1.377042	1.377042	0.04993228
550	-55.81836	-54.14531	-1.673055	1.909409	1.909409	1.909409	1.909409	1.909409	1.909409	0.04896484
