Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15	start_16	end_16	start_17	end_17	start_18	end_18	start_19	end_19	start_20	end_20	start_21	end_21	start_22	end_22	start_23	end_23	start_24	end_24	start_25	end_25	start_26	end_26	start_27	end_27	start_28	end_28	start_29	end_29	start_30	end_30	start_31	end_31	start_32	end_32	start_33	end_33	start_34	end_34	start_35	end_35
0	5	5	5	14	5	27	14	14	5	5	1	6	3	3	1	9	1	1	1	1	1	28	26	26	3	14	5	5	5	5	5	5	4	11	5	5	5	15	5	5	5	5	5	5	26	26	31	31	1	1	31	31	31	31	28	31	31	31	2	31	14	14	22	14	5	5	8	22	8	8
10	5	5	3	14	21	27	5	14	5	5	2	6	3	3	1	9	1	1	1	1	1	28	31	26	5	14	5	5	5	5	5	5	11	11	5	5	5	25	5	5	5	5	5	5	30	31	30	30	1	1	31	31	31	31	31	31	31	31	4	31	5	5	23	21	3	14	26	29	26	26
20	5	5	5	14	26	27	5	14	5	5	20	6	3	3	1	9	1	1	1	1	1	28	16	26	3	14	5	5	5	5	5	5	15	11	5	5	5	15	5	5	5	5	5	5	6	16	1	20	1	1	1	1	1	1	1	1	3	7	6	27	2	5	1	26	4	5	3	9	16	16
30	5	5	5	14	16	27	5	14	5	5	1	6	1	3	1	9	1	1	1	1	1	28	16	26	5	14	5	5	5	5	5	5	11	11	5	5	11	25	5	5	15	25	15	15	1	27	12	23	1	1	1	12	1	1	1	1	1	1	1	1	5	5	26	27	5	5	12	31	12	12
40	12	5	5	14	28	27	5	14	5	5	1	6	1	3	1	9	12	1	5	1	5	28	1	26	5	14	5	5	5	5	5	5	25	11	5	5	5	25	5	5	5	5	5	5	5	12	5	5	5	5	5	5	1	12	1	1	1	1	16	1	4	5	1	28	29	12	1	29	16	16
50	5	5	5	14	16	27	5	14	5	5	1	6	7	3	1	9	1	1	1	1	1	28	7	26	3	14	5	5	5	5	5	5	11	11	5	5	5	25	5	5	5	5	5	5	7	7	1	21	1	1	1	1	1	1	1	1	18	7	3	18	5	5	28	27	2	5	14	28	14	14
60	5	5	5	14	4	27	5	14	5	5	2	6	17	3	5	9	5	1	6	1	2	28	13	26	2	14	5	5	5	5	5	5	4	11	5	5	5	15	5	5	5	5	5	5	5	13	5	5	2	6	5	13	5	5	5	5	20	28	4	20	28	5	13	28	2	5	4	13	4	4
70	5	5	26	14	28	27	5	14	5	5	3	6	14	3	5	9	1	1	1	1	8	28	4	26	5	14	5	5	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	15	5	5	7	16	1	21	1	1	5	12	14	14	2	14	5	5	31	28	4	31	19	31	19	19
80	5	5	5	14	27	27	14	14	5	5	2	6	3	3	4	9	1	1	1	1	13	28	5	26	14	14	5	5	5	5	5	5	4	11	5	5	5	15	5	5	5	5	5	5	14	14	5	14	12	20	12	12	12	12	23	23	23	29	15	28	3	14	16	27	5	5	4	27	15	15
90	5	5	5	14	27	27	14	14	5	5	2	6	3	3	1	9	1	1	1	1	1	28	1	26	12	14	5	5	5	5	5	5	3	11	5	5	5	14	5	5	5	5	5	5	12	12	1	12	1	1	1	1	1	1	9	1	18	18	23	26	5	14	15	27	5	5	5	15	23	23
