Iteration	Posterior	Likelihood	Prior	er[1][1]	er[2][2]	er[3][3]	er[4][4]	er[5][5]	extirpation_rate	rate_bg
0	-57.64319	-59.57055	1.927355	0.8354647	0.8354647	0.8354647	0.8354647	0.8354647	0.8354647	0.01
10	-57.72569	-57.69575	-0.02994438	0.39275	0.39275	0.39275	0.39275	0.39275	0.39275	0.04084778
20	-54.24559	-55.10711	0.8615195	0.9562592	0.9562592	0.9562592	0.9562592	0.9562592	0.9562592	0.02519111
30	-54.34931	-55.38577	1.036459	0.9316219	0.9316219	0.9316219	0.9316219	0.9316219	0.9316219	0.0218603
40	-54.38891	-54.88714	0.4982328	1.059483	1.059483	1.059483	1.059483	1.059483	1.059483	0.03097997
50	-54.24441	-55.2012	0.9567936	0.8028162	0.8028162	0.8028162	0.8028162	0.8028162	0.8028162	0.02714244
60	-56.26744	-55.96675	-0.3006912	1.199021	1.199021	1.199021	1.199021	1.199021	1.199021	0.05391816
70	-55.72377	-54.4085	-1.315278	1.996246	1.996246	1.996246	1.996246	1.996246	1.996246	0.02843424
80	-59.54033	-54.3687	-5.171636	3.848749	3.848749	3.848749	3.848749	3.848749	3.848749	0.03453884
90	-54.39172	-54.97395	0.5822317	1.125636	1.125636	1.125636	1.125636	1.125636	1.125636	0.02546119
100	-54.33243	-55.22794	0.8955105	0.7967762	0.7967762	0.7967762	0.7967762	0.7967762	0.7967762	0.02899029
110	-54.88374	-54.58457	-0.299171	1.377142	1.377142	1.377142	1.377142	1.377142	1.377142	0.03806386
120	-55.80206	-54.09494	-1.707121	2.09966	2.09966	2.09966	2.09966	2.09966	2.09966	0.0337479
130	-55.15556	-54.49548	-0.6600878	1.515612	1.515612	1.515612	1.515612	1.515612	1.515612	0.04107784
140	-55.81335	-54.01877	-1.794585	2.067461	2.067461	2.067461	2.067461	2.067461	2.067461	0.03944626
150	-54.25915	-55.29877	1.039622	0.7182285	0.7182285	0.7182285	0.7182285	0.7182285	0.7182285	0.02611925
160	-54.84421	-55.35147	0.507253	0.9304961	0.9304961	0.9304961	0.9304961	0.9304961	0.9304961	0.03716422
170	-54.21709	-55.17803	0.9609367	0.8293783	0.8293783	0.8293783	0.8293783	0.8293783	0.8293783	0.02643283
180	-56.00091	-55.81374	-0.1871741	1.652047	1.652047	1.652047	1.652047	1.652047	1.652047	0.01920241
190	-57.39688	-55.65534	-1.741538	1.768915	1.768915	1.768915	1.768915	1.768915	1.768915	0.07082948
200	-55.00622	-54.57711	-0.4291175	1.420059	1.420059	1.420059	1.420059	1.420059	1.420059	0.03972632
210	-56.28161	-55.98366	-0.2979486	1.196514	1.196514	1.196514	1.196514	1.196514	1.196514	0.05402111
220	-54.65345	-55.57712	0.9236706	1.058317	1.058317	1.058317	1.058317	1.058317	1.058317	0.02028346
230	-54.96519	-56.47185	1.506663	0.7639818	0.7639818	0.7639818	0.7639818	0.7639818	0.7639818	0.01607278
240	-54.34021	-54.93374	0.5935286	1.020302	1.020302	1.020302	1.020302	1.020302	1.020302	0.02997721
250	-55.03768	-54.53507	-0.5026012	1.622573	1.622573	1.622573	1.622573	1.622573	1.622573	0.0280213
260	-65.18109	-56.03538	-9.145708	6.4308	6.4308	6.4308	6.4308	6.4308	6.4308	0.0315509
270	-64.83624	-57.66009	-7.176145	2.95215	2.95215	2.95215	2.95215	2.95215	2.95215	1.385073
280	-64.91258	-55.4037	-9.508877	5.492434	5.492434	5.492434	5.492434	5.492434	5.492434	0.1769368
290	-55.62213	-54.66662	-0.9555185	1.87189	1.87189	1.87189	1.87189	1.87189	1.87189	0.02589081
300	-56.0136	-56.52993	0.5163291	0.5038287	0.5038287	0.5038287	0.5038287	0.5038287	0.5038287	0.03648856
310	-55.6391	-55.03177	-0.6073256	1.409314	1.409314	1.409314	1.409314	1.409314	1.409314	0.04852857
320	-54.78291	-55.34169	0.5587854	0.909398	0.909398	0.909398	0.909398	0.909398	0.909398	0.03625422
330	-54.48831	-55.30221	0.8139014	0.7999096	0.7999096	0.7999096	0.7999096	0.7999096	0.7999096	0.0313815
340	-56.89594	-53.86194	-3.033996	2.619657	2.619657	2.619657	2.619657	2.619657	2.619657	0.04292473
350	-54.55819	-54.61503	0.05684088	1.298834	1.298834	1.298834	1.298834	1.298834	1.298834	0.03116051
360	-56.66412	-54.62059	-2.043531	2.376556	2.376556	2.376556	2.376556	2.376556	2.376556	0.02634469
370	-55.16207	-56.71206	1.54999	0.5921828	0.5921828	0.5921828	0.5921828	0.5921828	0.5921828	0.0150566
380	-55.22745	-55.91047	0.6830223	0.7225237	0.7225237	0.7225237	0.7225237	0.7225237	0.7225237	0.03726858
390	-54.67513	-56.12692	1.451795	0.6993497	0.6993497	0.6993497	0.6993497	0.6993497	0.6993497	0.01735311
400	-54.90271	-55.1018	0.1990895	1.37822	1.37822	1.37822	1.37822	1.37822	1.37822	0.02307678
410	-55.63266	-55.51944	-0.1132162	1.165932	1.165932	1.165932	1.165932	1.165932	1.165932	0.04749955
420	-55.39008	-54.23574	-1.15434	1.752538	1.752538	1.752538	1.752538	1.752538	1.752538	0.04077533
430	-54.59293	-55.31956	0.7266346	0.8366722	0.8366722	0.8366722	0.8366722	0.8366722	0.8366722	0.03318751
440	-56.34401	-55.90167	-0.4423404	1.778313	1.778313	1.778313	1.778313	1.778313	1.778313	0.01893447
450	-54.60663	-55.73703	1.130392	0.9505036	0.9505036	0.9505036	0.9505036	0.9505036	0.9505036	0.01940482
460	-55.58418	-55.44337	-0.1408066	1.184978	1.184978	1.184978	1.184978	1.184978	1.184978	0.04715925
470	-54.62852	-54.55214	-0.07638198	1.356429	1.356429	1.356429	1.356429	1.356429	1.356429	0.03175807
480	-58.23919	-53.85718	-4.382013	3.274321	3.274321	3.274321	3.274321	3.274321	3.274321	0.04533378
490	-54.878	-54.54711	-0.330893	1.533999	1.533999	1.533999	1.533999	1.533999	1.533999	0.0284412
500	-54.44066	-55.79576	1.355093	0.7044919	0.7044919	0.7044919	0.7044919	0.7044919	0.7044919	0.01910321
510	-57.89487	-56.05659	-1.838283	1.77016	1.77016	1.77016	1.77016	1.77016	1.77016	0.07781689
520	-55.65433	-54.35341	-1.300924	1.768556	1.768556	1.768556	1.768556	1.768556	1.768556	0.04562376
530	-58.112	-54.13661	-3.97539	2.854464	2.854464	2.854464	2.854464	2.854464	2.854464	0.06848877
540	-61.82597	-55.82448	-6.001484	3.387313	3.387313	3.387313	3.387313	3.387313	3.387313	0.1848179
550	-64.31346	-55.94584	-8.367616	4.140008	4.140008	4.140008	4.140008	4.140008	4.140008	0.5050852
560	-62.5384	-58.02805	-4.510348	2.509846	2.509846	2.509846	2.509846	2.509846	2.509846	0.2354083
570	-65.32025	-58.8636	-6.456643	2.581006	2.581006	2.581006	2.581006	2.581006	2.581006	1.423977
580	-64.87188	-55.89423	-8.977653	4.274443	4.274443	4.274443	4.274443	4.274443	4.274443	0.7374421
590	-64.68381	-56.66222	-8.021591	3.445729	3.445729	3.445729	3.445729	3.445729	3.445729	1.248629
600	-62.50747	-56.0542	-6.45327	3.499331	3.499331	3.499331	3.499331	3.499331	3.499331	0.2354414
610	-55.60224	-54.88671	-0.7155295	1.467778	1.467778	1.467778	1.467778	1.467778	1.467778	0.04795675
620	-54.39298	-54.79748	0.4044976	1.142085	1.142085	1.142085	1.142085	1.142085	1.142085	0.02954281
630	-54.45987	-54.71627	0.2564064	1.21532	1.21532	1.21532	1.21532	1.21532	1.21532	0.02996255
640	-54.26199	-55.01284	0.7508475	0.991851	0.991851	0.991851	0.991851	0.991851	0.991851	0.02674143
