Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15	start_16	end_16	start_17	end_17	start_18	end_18	start_19	end_19	start_20	end_20	start_21	end_21	start_22	end_22	start_23	end_23	start_24	end_24	start_25	end_25	start_26	end_26	start_27	end_27	start_28	end_28	start_29	end_29	start_30	end_30	start_31	end_31	start_32	end_32	start_33	end_33	start_34	end_34	start_35	end_35
0	5	5	14	14	14	27	5	14	5	5	2	6	3	3	1	1	4	9	1	1	1	28	26	26	3	14	5	5	5	5	5	5	4	11	5	5	5	15	5	5	5	5	5	5	26	26	31	31	1	1	31	31	31	31	31	31	29	31	12	31	5	5	14	14	5	14	2	14	20	20
10	5	5	5	14	5	27	14	14	5	5	1	6	3	3	1	1	4	9	1	1	1	28	26	26	5	14	5	5	5	5	5	5	3	11	5	5	5	14	5	5	5	5	5	5	30	31	30	30	1	1	31	31	31	31	31	31	31	31	18	31	3	14	31	14	5	5	3	31	18	18
20	5	5	5	14	27	27	5	14	5	5	2	6	3	3	4	1	9	9	1	1	12	28	3	26	14	14	5	5	5	5	5	5	3	11	5	5	5	14	5	5	5	5	5	5	14	14	5	14	5	12	5	5	23	23	23	23	29	29	2	31	5	5	8	27	5	5	14	22	22	22
30	5	5	5	14	27	27	14	14	5	5	1	6	3	3	1	1	9	9	1	1	12	28	3	26	14	14	5	5	5	5	5	5	3	11	5	5	5	14	5	5	5	5	5	5	5	14	5	5	5	12	5	5	23	23	23	23	29	29	18	29	5	14	5	27	5	5	5	5	29	29
40	5	5	14	14	26	27	14	14	5	5	1	6	19	3	1	1	9	9	1	1	1	28	3	26	14	14	5	5	5	5	5	5	3	11	5	5	5	14	5	5	5	5	5	5	5	14	1	5	1	1	1	1	9	9	1	9	26	26	2	26	5	14	27	31	5	14	2	27	2	2
50	5	5	5	14	31	27	5	14	5	5	27	6	9	3	1	1	1	9	1	1	1	28	6	26	3	14	5	5	5	5	5	5	4	11	5	5	5	15	5	5	5	5	5	5	1	16	1	12	1	1	1	1	1	1	1	1	4	9	13	31	5	5	15	31	1	5	1	23	20	20
60	5	5	5	14	3	27	16	14	5	5	1	6	3	3	1	1	1	9	1	1	5	28	16	26	3	14	5	5	5	5	5	5	4	11	24	5	5	24	5	5	5	5	5	5	2	16	5	13	12	12	1	12	1	1	1	1	7	7	17	7	30	27	5	30	26	5	4	31	17	17
70	5	5	14	14	7	27	5	14	5	5	10	6	1	3	1	1	1	9	5	1	12	28	11	26	3	14	5	5	5	5	5	5	4	11	5	5	5	15	5	5	5	5	5	5	5	11	5	5	12	12	1	12	1	1	1	1	1	1	4	17	5	5	21	21	5	14	3	21	11	11
80	5	5	5	14	3	27	5	14	5	5	1	6	1	3	1	1	1	9	1	1	1	28	16	26	3	14	23	5	5	5	5	5	3	11	5	5	5	14	5	5	5	5	1	23	1	16	1	1	1	1	1	1	1	1	1	1	1	1	3	1	12	5	13	21	2	5	3	13	3	3
90	5	5	3	14	24	27	5	14	5	5	2	6	4	3	1	1	1	9	1	1	1	28	2	26	22	14	5	5	5	5	5	5	3	11	5	5	5	14	5	5	5	5	5	5	14	22	14	14	1	1	21	21	21	21	21	21	29	29	4	31	5	5	24	24	3	14	15	30	15	15
